variable,coef,se,z,p,lci,uci,or,or_lci,or_uci
Intercept,-2.926506822422221,0.060496908968402416,-48.37448511544181,6.599008645089817e-274,-3.0452100320471134,-2.8078036127973283,0.05358388964429792,0.047586316286434054,0.060337371191533734
age_lt18,-0.1420897140103555,0.06453880657200613,-2.201616694783868,0.02790076253387697,-0.26872367954830656,-0.015455748472404413,0.8675434221949904,0.7643544332327572,0.9846630786330612
age_45_64,0.271553708278551,0.02287830839199955,11.869483688466767,1.18873125812742e-30,0.22666333812200487,0.31644407843509714,1.3120013352974091,1.2544074856643688,1.372239502310138
age_65plus,0.20513335570885904,0.026023623625436823,7.882582328325376,7.719062677973982e-15,0.1540714468760794,0.2561952645416387,1.2276887733538397,1.1665742318856132,1.2920049860717684
female_d,0.3422724721662172,0.01724081725851084,19.85245055580275,3.878386592754473e-75,0.30844363065944885,0.37610131367298555,1.4081439252734507,1.361304771532518,1.456594699254792
race_nhwhite,0.15333823940743746,0.027153646493520027,5.6470588377155995,2.079802802546048e-08,0.100059071153006,0.20661740766186892,1.1657192044406284,1.1052362037242773,1.2295120798817916
race_nhblack,-0.03147020523283119,0.03537991962161623,-0.889493406695127,0.3739336911802829,-0.10089044648102574,0.03795003601536336,0.9690198277437805,0.904032067355222,1.0386793350236592
race_nhasian,0.040329564345381645,0.051288852125316045,0.7863222254778262,0.4318491762119453,-0.06030617835729681,0.1409653070480601,1.0411538448426731,0.9414762298048366,1.151384702357689
race_nhother,0.09362145585677052,0.0573619632496386,1.632117357094823,0.10294281300588883,-0.01893056149792781,0.20617347321146884,1.098143971258865,0.981247496233518,1.2289663782491884
edu_hs,0.18595328107436754,0.0356820320140571,5.211398302683838,2.239508440941902e-07,0.11594025399195926,0.2559663081567758,1.2043659923780174,1.1229287796171235,1.2917092071424618
edu_college,0.452153639658281,0.036327973411412806,12.446431694321607,2.3653265152270918e-33,0.3808731872081443,0.5234340921084177,1.5716934044661586,1.4635619952584338,1.6878138170062524
edu_child,-0.1420897140103555,0.0005668724343240991,-250.65553624912772,0.0,-0.14320199525826674,-0.14097743276244426,0.8675434221949904,0.8665790063649844,0.8685089113234334
edu_unknown,-0.49448885907749923,0.15071287032948405,-3.280999545668941,0.0010670809502462218,-0.7902081238292571,-0.19876959432574132,0.6098825635755479,0.45375034919425494,0.8197387440339887
pov_nearpoor,0.11691946288036553,0.05404991436187178,2.1631757285973348,0.030743896561655232,0.010866138436040867,0.2229727873246902,1.1240288999950938,1.0109253893333086,1.2497865632372758
pov_low,0.12473677959205501,0.04065660654335171,3.0680568349709536,0.0022075958763288247,0.04496295690513201,0.204510602278978,1.1328502245203895,1.045989112517134,1.226924463972253
pov_middle,0.19195450692997032,0.03381830986608108,5.676052638056165,1.764915462054939e-08,0.12559835760522237,0.2583106562547183,1.2116153956070488,1.1338266839536337,1.2947409755370138
pov_high,0.3220264941247579,0.036019205568427526,8.940410790376477,1.6183522299454654e-18,0.2513518864130764,0.39270110183643947,1.3799213352809536,1.2857624470719449,1.4809756622616788
ins_private,0.6929206358850508,0.050301176833700625,13.775435874510395,6.298084351548083e-40,0.5942228471899595,0.7916184245801421,1.9995469619688253,1.8116224902297546,2.2069653444254267
ins_public,0.5728674507891106,0.05013335095623064,11.42687332608701,1.205761640821852e-28,0.4744989594193456,0.6712359421588756,1.773344746727232,1.607208718924148,1.9566541381446347
