Cycle,Window,Def,Group,N,PY,UCOD,Cause,Deaths,Rate/1000PY,Flag
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,406.9,9,Nephritis,0,0.0,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,406.9,10,All other causes,5,12.3,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,1,Heart disease,1,0.1,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,2,Malignant neoplasms,4,0.6,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,3,Chronic lower resp.,0,0.0,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,4,Accidents,4,0.6,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,5,Cerebrovascular,2,0.3,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,6,Alzheimer's,0,0.0,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,7,Diabetes,2,0.3,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,8,Influenza/pneumonia,0,0.0,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,9,Nephritis,2,0.3,UNSTABLE
2011-2012,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,7029.8,10,All other causes,4,0.6,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,1,Heart disease,14,23.6,
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,2,Malignant neoplasms,6,10.1,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,3,Chronic lower resp.,1,1.7,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,4,Accidents,5,8.4,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,5,Cerebrovascular,0,0.0,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,6,Alzheimer's,0,0.0,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,7,Diabetes,0,0.0,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,8,Influenza/pneumonia,2,3.4,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,9,Nephritis,1,1.7,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis+,215,593.1,10,All other causes,7,11.8,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,1,Heart disease,6,0.6,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,2,Malignant neoplasms,11,1.0,
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,3,Chronic lower resp.,0,0.0,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,4,Accidents,5,0.5,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,5,Cerebrovascular,3,0.3,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,6,Alzheimer's,0,0.0,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,7,Diabetes,2,0.2,UNSTABLE
