year,meps_total_b,meps_total_b_lci,meps_total_b_uci,bea_total_b,meps_percap,meps_percap_lci,meps_percap_uci,bea_percap
2017,17.94279038526049,16.808697480221724,19.076883290299257,32.57,55.24599864169417,52.302112318064964,58.18988496532338,100.59
2018,23.74067170893991,21.991441688815527,25.489901729064293,34.05,72.75097407207659,68.59400723744146,76.90794090671172,104.61
2019,22.39621606247361,20.86319887181926,23.92923325312796,35.66,68.40697094913267,65.02389071514085,71.79005118312449,109.03
2020,20.191139316348824,18.60987942418668,21.77239920851097,33.9,61.456181270686514,58.06481165490711,64.84755088646592,102.6
2021,24.851627641717144,22.112848452742863,27.590406830691425,41.57,75.02391894238076,68.79244599407467,81.25539189068685,125.63
