sex,birth_cohort,age_range_observed,n_cycles,slope_per_year,intercept,r_squared,p_value
Male,1915–1919,83–85,3,0.0547194469029354,-2.564954928931954,0.8389185954816846,0.26291742319254574
Male,1920–1924,78–84,4,0.06665888736673004,-3.4068621798157133,0.9438234638325211,0.028494228615948414
Male,1925–1929,73–80,5,0.06765049226105199,-3.3555303652145256,0.900880113236588,0.013660524205227006
Male,1930–1934,68–80,8,0.07658644176134981,-3.8391412371782847,0.9766895916968235,3.993309860818354e-06
Male,1935–1939,63–80,10,0.0601008534454458,-2.5679310382828424,0.9128903878539303,1.632471469841822e-05
Male,1940–1944,59–76,10,0.048052700109560045,-1.6757883075708349,0.957251825011044,9.291651565875093e-07
Male,1945–1949,53–71,10,0.04391061398840671,-1.3289317415545303,0.9298231339510099,6.826597034586923e-06
Male,1950–1954,48–66,10,0.03871673323094871,-0.9752197612515521,0.928806515003113,7.233980299148737e-06
Male,1955–1959,43–61,10,0.031078259441924213,-0.5365749465767362,0.8691108277757374,8.4836438756297e-05
Male,1960–1964,38–56,10,0.03186816104651889,-0.5284817319202956,0.9375320688425478,4.272061597839083e-06
Male,1965–1969,35–51,10,0.02833431596592636,-0.3332771526872931,0.9208139497778822,1.1109500708382516e-05
Male,1970–1974,35–46,7,0.025996974738872275,-0.22697702086139626,0.6972581056978763,0.019387805414471056
Male,1975–1979,35–41,5,0.005145892929555052,0.5944154118900499,0.052717709024812244,0.7102491928658308
Female,1915–1919,84–85,3,0.16027487156614706,-11.640492428641386,0.9552841102393895,0.13564447855884226
Female,1920–1924,78–85,4,0.0652947617616372,-3.5415692475905405,0.9992624383250487,0.00036884886221721924
Female,1925–1929,73–80,5,0.04919709009542423,-2.1530812986901373,0.7716292855623121,0.049948350795603384
Female,1930–1934,68–80,8,0.06713735935850644,-3.364067975765773,0.9374902435797208,7.818910045373705e-05
Female,1935–1939,63–80,10,0.05309094976796001,-2.2313565495097265,0.8879589778713791,4.516715288077232e-05
Female,1940–1944,58–76,10,0.04040846969017857,-1.3454589267952102,0.8860496823506976,4.8366392639660596e-05
Female,1945–1949,53–71,10,0.0423033032523186,-1.3745000529972407,0.9586361213788724,8.140633767398942e-07
Female,1950–1954,48–66,10,0.03253101360906923,-0.7529070916752527,0.9254528183948575,8.708881694462983e-06
Female,1955–1959,43–61,10,0.03364595302150273,-0.7667834025797233,0.9356452397243342,4.81590833407961e-06
Female,1960–1964,38–56,10,0.028232045177327008,-0.46106229406068655,0.920648455150064,1.1203460672182392e-05
Female,1965–1969,35–51,10,0.025122767106461084,-0.3145744976962346,0.8915231092495948,3.96259727042911e-05
Female,1970–1974,35–46,7,0.016145468179244442,0.09336328016582474,0.6074794329130384,0.03882120412099052
Female,1975–1979,35–41,5,-0.005330586008294255,0.9185782439674944,0.3441365634077508,0.2984583310831017
