sex,age_start,current,former,never
Female,0,0.0,0.0,1.0
Female,1,0.0,0.0,1.0
Female,2,0.0,0.0,1.0
Female,5,0.0,0.0,1.0
Female,10,0.0,0.0,1.0
Female,15,0.0,0.0,1.0
Female,20,0.19904240587178157,0.06764240255479491,0.7333151915734234
Female,25,0.21092123308835742,0.11549791402267673,0.6735808528889657
Female,30,0.20754321278750934,0.1367217839070748,0.6557350033054158
Female,35,0.2057655631823718,0.1536878684009108,0.6405465684167174
Female,40,0.21095219025464607,0.1560796384649614,0.6329681712803924
Female,45,0.2107720497659135,0.2023749797814781,0.5868529704526085
Female,50,0.214164094309233,0.20536000149328962,0.5804759041974775
Female,55,0.183027840996808,0.23444118450010887,0.5825309745030832
Female,60,0.15124438916539867,0.27145817936062455,0.5772974314739768
Female,65,0.09048417734652979,0.3400460947949261,0.5694697278585442
Female,70,0.07867223578925628,0.3031402922102846,0.6181874720004592
Female,75,0.07774209017971273,0.3045534346650894,0.6177044751551979
Female,80,0.02502954388714426,0.3021899272394023,0.6727805288734534
Male,0,0.0,0.0,1.0
Male,1,0.0,0.0,1.0
Male,2,0.0,0.0,1.0
Male,5,0.0,0.0,1.0
Male,10,0.0,0.0,1.0
Male,15,0.0,0.0,1.0
Male,20,0.25066488859903213,0.12033372059411955,0.6290013908068482
Male,25,0.3027292385430911,0.1740574900632836,0.5232132713936255
Male,30,0.2723367720476999,0.197853970685602,0.5298092572666981
Male,35,0.2640109370530608,0.21260217056538325,0.5233868923815559
Male,40,0.24390903296136857,0.24395340743230112,0.5121375596063302
Male,45,0.22087189603444604,0.21981579927340927,0.5593123046921448
Male,50,0.24853519463227663,0.2818748312990715,0.4695899740686517
Male,55,0.23246499471252458,0.3264114161961808,0.44112358909129473
Male,60,0.19626655922225594,0.39776845898364777,0.4059649817940963
Male,65,0.14939203370476678,0.519465621162482,0.3311423451327513
Male,70,0.1192413079168728,0.5231185075588409,0.35764018452428636
Male,75,0.08559012154796153,0.5906790282776126,0.3237308501744258
Male,80,0.0381266260849255,0.569624904735606,0.3922484691794685
